"Date","Turists","Excursionists"
"1","2000-01-01","1981949","1655041"
"2","2000-02-01","2260826","1682929"
"3","2000-03-01","3012281","1816967"
"4","2000-04-01","4206767","2336303"
"5","2000-05-01","4095338","2077029"
"6","2000-06-01","4637337","2072357"
"7","2000-07-01","6351156","3218923"
"8","2000-08-01","5762420","4628212"
"9","2000-09-01","5036948","2652228"
"10","2000-10-01","4142325","2079196"
"11","2000-11-01","2494391","1799997"
"12","2000-12-01","2421190","2157441"
"13","2001-01-01","2201838","1711211"
"14","2001-02-01","2411357","1676727"
"15","2001-03-01","3104861","1797234"
"16","2001-04-01","4230508","2337601"
"17","2001-05-01","4375083","2020071"
"18","2001-06-01","4948190","1995857"
"19","2001-07-01","6635181","2987689"
"20","2001-08-01","6491773","4345280"
"21","2001-09-01","5139723","2355647"
"22","2001-10-01","4023913","1953561"
"23","2001-11-01","2465390","1703655"
"24","2001-12-01","2537527","2113690"
"25","2002-01-01","2178691","1732158"
"26","2002-02-01","2599398","1816739"
"27","2002-03-01","3671074","2084383"
"28","2002-04-01","3655817","2318212"
"29","2002-05-01","4482919","2210484"
"30","2002-06-01","5021743","2094492"
"31","2002-07-01","6694014","3103426"
"32","2002-08-01","7344750","4731335"
"33","2002-09-01","5058634","2496574"
"34","2002-10-01","4328167","2154459"
"35","2002-11-01","2673690","1983504"
"36","2002-12-01","2621728","2256938"
"37","2003-01-01","2393246","1909105"
"38","2003-02-01","2679125","1735728"
"39","2003-03-01","3302468","2202523"
"40","2003-04-01","4207964","2504784"
"41","2003-05-01","4716094","2590764"
"42","2003-06-01","5056196","2444490"
"43","2003-07-01","6847249","3277174"
"44","2003-08-01","6917438","5009624"
"45","2003-09-01","4994252","2705735"
"46","2003-10-01","4351947","2407454"
"47","2003-11-01","2658574","2162577"
"48","2003-12-01","2729262","2522378"
"49","2004-01-01","2554887","2162826"
"50","2004-02-01","2948888","2192034"
"51","2004-03-01","3279133","2239840"
"52","2004-04-01","4182442","2813998"
"53","2004-05-01","4903627","2631296"
"54","2004-06-01","4855562","2503435"
"55","2004-07-01","6915294","3591656"
"56","2004-08-01","6844849","5012858"
"57","2004-09-01","5301203","2738654"
"58","2004-10-01","4710414","2735246"
"59","2004-11-01","2871639","2271076"
"60","2004-12-01","3061894","2658574"
"61","2005-01-01","2712863","2253968"
"62","2005-02-01","2955391","2256656"
"63","2005-03-01","3835168","2662237"
"64","2005-04-01","4155338","2819195"
"65","2005-05-01","5170770","2931364"
"66","2005-06-01","5262955","2916359"
"67","2005-07-01","7495663","4147025"
"68","2005-08-01","7318761","5314101"
"69","2005-09-01","5788786","3214748"
"70","2005-10-01","4918458","2908414"
"71","2005-11-01","3119567","2354450"
"72","2005-12-01","3180058","2870879"
"73","2006-01-01","2729475","2478710"
"74","2006-02-01","3032159","2557636"
"75","2006-03-01","3830261","2748000"
"76","2006-04-01","4900226","3222822"
"77","2006-05-01","5527699","3189589"
"78","2006-06-01","5527126","2739181"
"79","2006-07-01","7563719","3950989"
"80","2006-08-01","7428402","5437465"
"81","2006-09-01","6006950","3255256"
"82","2006-10-01","5067722","2977583"
"83","2006-11-01","3162697","2510135"
"84","2006-12-01","3228025","3080382"
"85","2007-01-01","2821632","2605178"
"86","2007-02-01","3160312","2477423"
"87","2007-03-01","4068344","2924449"
"88","2007-04-01","4686834","3339525"
"89","2007-05-01","5395227","3018885"
"90","2007-06-01","5745181","3112980"
"91","2007-07-01","7633521","4425327"
"92","2007-08-01","7561898","5933753"
"93","2007-09-01","6035341","3582502"
"94","2007-10-01","5023913","3121462"
"95","2007-11-01","3304307","2652206"
"96","2007-12-01","3228994","3047434"
"97","2008-01-01","2879846","2590187"
"98","2008-02-01","3360500","2607679"
"99","2008-03-01","4333369","3121065"
"100","2008-04-01","4583335","3221992"
"101","2008-05-01","5649384","3578863"
"102","2008-06-01","5779578","3210686"
"103","2008-07-01","7066558","4460725"
"104","2008-08-01","7336705","6104508"
"105","2008-09-01","5682501","3323385"
"106","2008-10-01","4777731","2891081"
"107","2008-11-01","2927417","2556691"
"108","2008-12-01","2815090","2810916"
"109","2009-01-01","2517980","2639390"
"110","2009-02-01","2833450","2446233"
"111","2009-03-01","3434132","2726555"
"112","2009-04-01","4511701","3076418"
"113","2009-05-01","4988169","3229072"
"114","2009-06-01","5203390","2958238"
"115","2009-07-01","6678047","4517909"
"116","2009-08-01","6723277","6133872"
"117","2009-09-01","5133169","3191886"
"118","2009-10-01","4607406","3195679"
"119","2009-11-01","2837367","2640454"
"120","2009-12-01","2709553","2965850"
"121","2010-01-01","2542841","2748473"
"122","2010-02-01","2723363","2540438"
"123","2010-03-01","3543400","3115239"
"124","2010-04-01","3910779","3268553"
"125","2010-05-01","5045676","3069446"
"126","2010-06-01","5289108","3236899"
"127","2010-07-01","6981417","4550003"
"128","2010-08-01","6985291","6215743"
"129","2010-09-01","5351470","3643369"
"130","2010-10-01","4806009","3280087"
"131","2010-11-01","2911187","2586987"
"132","2010-12-01","2586430","2811968"
"133","2011-01-01","2655823","2943068"
"134","2011-02-01","2784271","2741675"
"135","2011-03-01","3510049","3110126"
"136","2011-04-01","4612689","3539810"
"137","2011-05-01","5134990","3364125"
"138","2011-06-01","5734891","3683698"
"139","2011-07-01","7385628","4847583"
"140","2011-08-01","7489515","6288651"
"141","2011-09-01","5934029","3773043"
"142","2011-10-01","5257086","3348082"
"143","2011-11-01","3004607","2564135"
"144","2011-12-01","2673306","2806258"
"145","2012-01-01","2811021","2715698"
"146","2012-02-01","2797620","2560187"
"147","2012-03-01","3592387","2959449"
"148","2012-04-01","4495693","3177620"
"149","2012-05-01","5385212","3101261"
"150","2012-06-01","5996190","3188543"
"151","2012-07-01","7654573","4602396"
"152","2012-08-01","7749332","6201252"
"153","2012-09-01","6202106","3775882"
"154","2012-10-01","5123303","3116288"
"155","2012-11-01","3020767","2488700"
"156","2012-12-01","2636291","2776306"
"157","2013-01-01","2724784","2561368"
"158","2013-02-01","2802652","2462985"
"159","2013-03-01","3873907","3237592"
"160","2013-04-01","4646791","3318026"
"161","2013-05-01","5766897","3539356"
"162","2013-06-01","6299188","3351722"
"163","2013-07-01","7836182","4703788"
"164","2013-08-01","8303152","5988756"
"165","2013-09-01","6496064","3673101"
"166","2013-10-01","5474909","2979780"
"167","2013-11-01","3300548","2382579"
"168","2013-12-01","3066789","2715764"
"169","2014-01-01","3060766","2540357"
"170","2014-02-01","3117700","2571332"
"171","2014-03-01","3900240","3060576"
"172","2014-04-01","5262064","3599337"
"173","2014-05-01","6094397","3461229"
"174","2014-06-01","6582941","3434797"
"175","2014-07-01","8296351","4668581"
